names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country,date_fixed
Watcher,"06/03/2022 ",66,"Mystery, Thriller, Horror","As a serial killer stalks the city, Julia - a young actress who just moved to town with her husband - notices a mysterious stranger watching her from across the street.","Maika Monroe, Julia, Karl Glusman, Francis, Burn Gorman, The Watcher, Mãdãlina Anea, Irina, Daniel Nuta, Cristian, Gabriela Butuc, Flavia, Cristina Deleanu, Eleonora, Ștefan Iancu, Sebastian, Florian Ghimpu, Officer Radu",Watcher," Released"," English",10237862.6,2667033,US,2022-06-03
"The Gray Man","07/14/2022 ",70,"Action, Thriller","When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.","Ryan Gosling, Six, Chris Evans, Lloyd Hansen, Ana de Armas, Dani Miranda, Billy Bob Thornton, Fitzroy, Jessica Henwick, Suzanne Brewer, Dhanush, Avik San, Alfre Woodard, Margaret Cahill, Regé-Jean Page, Carmichael, Wagner Moura, Laszlo Sosa","The Gray Man"," Released"," English",200000000,451178,AU,2022-07-14
"The Mummy Resurrection","01/02/2023 ",50,Horror,"When an infamous "cursed" Egyptian sarcophagus falls into the hands of unscrupulous huckster Everett Randolph, he becomes obsessed with resurrecting the mummified princess held within it.","Carl Wharton, Sykes, Chris Bell, Everett, Marcus Langford, Charlie, Raven Lee, Khenmetptah, Sophie Marlowe, Shelly, Jas Steven Singh, Azaan","The Mummy Resurrection"," Released"," English",102800000,545695337.6,GB,2023-01-02
"The Fallout","03/17/2021 ",77,Drama,"In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.","Jenna Ortega, Vada Cavell, Maddie Ziegler, Mia Reed, Niles Fitch, Quinton Hasland, Will Ropp, Nick Feinstein, Lumi Pollack, Amelia Cavell, John Ortiz, Carlos Cavell, Julie Bowen, Patricia Cavell, Shailene Woodley, Anna, Christine Horn, Mrs. Victor","The Fallout"," Released"," English",114200000,736329646.2,US,2021-03-17
"Guardians of the Galaxy Volume 3","05/04/2023 ",0,"Science Fiction, Adventure, Comedy","Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.","Chris Pratt, Peter Quill / Star-Lord, Zoe Saldaña, Gamora, Dave Bautista, Drax the Destroyer, Karen Gillan, Nebula, Pom Klementieff, Mantis, Bradley Cooper, Rocket (voice), Vin Diesel, Groot (voice), Sean Gunn, Kraglin / On-Set Rocket, Chukwudi Iwuji, The High Evolutionary","Guardians of the Galaxy Volume 3"," Post Production"," English",250000000,1240261.6,AU,2023-05-04
"Boyka: Undisputed IV","09/22/2016 ",71,"Action, Drama","In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude.","Scott Adkins, Yuri Boyka, Teodora Duhovnikova, Alma, Alon Abutbul, Zourab, Julian Vergov, Slava, Martyn Ford, Koshmar, Brahim Achabbakhe, Igor Kazmir, Paul Chahidi, Kiril, Petio Petkov, Dominik, Valentin Ganev, Warden","Boyka: Undisputed IV"," Released"," English",119400000,343644155,US,2016-09-22
"The Godfather","11/02/1972 ",87,"Drama, Crime","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","Marlon Brando, Vito Corleone, Al Pacino, Michael Corleone, James Caan, Sonny Corleone, Richard S. Castellano, Peter Clemenza, Robert Duvall, Tom Hagen, Sterling Hayden, Captain McCluskey, John Marley, Jack Woltz, Richard Conte, Emilio Barzini, Diane Keaton, Kay Adams-Corleone","The Godfather"," Released"," English",7000000,270007394,AU,1972-11-02
Mulan,"09/03/1998 ",79,"Animation, Family, Adventure","To save her father from certain death in the army, a young woman secretly enlists in his place and becomes one of China's greatest heroines in the process.","Ming-Na Wen, Mulan (voice), Eddie Murphy, Mushu (voice), BD Wong, Shang (voice), Miguel Ferrer, Shan-Yu (voice), Harvey Fierstein, Yao (voice), Freda Foh Shen, Fa Li (voice), June Foray, Grandmother Fa (voice), James Hong, Chi Fu (voice), Miriam Margolyes, The Matchmaker (voice)",Mulan," Released"," English",200000000,69973540,AU,1998-09-03
Mulan,"09/03/1998 ",79,"Animation, Family, Adventure","To save her father from certain death in the army, a young woman secretly enlists in his place and becomes one of China's greatest heroines in the process.","Ming-Na Wen, Mulan (voice), Eddie Murphy, Mushu (voice), BD Wong, Shang (voice), Miguel Ferrer, Shan-Yu (voice), Harvey Fierstein, Yao (voice), Freda Foh Shen, Fa Li (voice), June Foray, Grandmother Fa (voice), James Hong, Chi Fu (voice), Miriam Margolyes, The Matchmaker (voice)",Mulan," Released"," English",90000000,303500000,AU,1998-09-03
"Dracula: The Original Living Vampire","01/28/2022 ",54,"Horror, Fantasy, Thriller","Detective Amelia Van Helsing is on the desperate hunt for the killer responsible for a string of grisly murders targeting young women. Matters only worsen when all evidence leads to the seemingly untouchable Count Dracula. And when Van Helsing's girlfriend vanishes, she is forced to question the very existence of monsters in a final showdown with the enigmatic count.","Michael Ironside, Dr. Jack Seward, Jake Herbert, Count Dracula, Christine Prouty, Amelia Van Helsing, India Davies, Mina Murray, Ryan Woodcock, Jonathan Harker","Dracula: The Original Living Vampire"," Released"," English",124800000,605767026.8,US,2022-01-28
"Big Hero 6","12/25/2014 ",77,"Adventure, Family, Animation, Action, Comedy","A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.","Scott Adsit, Baymax (voice), Ryan Potter, Hiro Hamada (voice), Daniel Henney, Tadashi Hamada (voice), T.J. Miller, Fred (voice), Jamie Chung, GoGo Tomago (voice), Damon Wayans Jr., Wasabi (voice), Génesis Rodríguez, Honey Lemon (voice), James Cromwell, Professor Robert Callaghan (voice), Alan Tudyk, Alistair Krei (voice)","Big Hero 6"," Released"," English",165000000,647263005,AU,2014-12-25
"Triangle of Sadness","12/26/2022 ",72,"Comedy, Drama","A celebrity model couple are invited on a luxury cruise for the uber-rich, helmed by an unhinged, alcoholic captain. What first appears Instagrammable ends catastrophically, leaving the survivors stranded on a desert island in a struggle of hierarchy.","Harris Dickinson, Carl, Charlbi Dean, Yaya, Woody Harrelson, Thomas, The Captain, Zlatko Burić, Dimitry, Vicki Berlin, Paula, Dolly de Leon, Abigail, Henrik Dorsin, Jarmo, Iris Berben, Therese, Jean-Christophe Folly, Nelson","Triangle of Sadness"," Released"," English",15600000,24733572,AU,2022-12-26
"Dungeons & Dragons","01/18/2001 ",43,"Drama, Adventure, Fantasy","The Empire of Izmer is a divided land: elite magicians called "mages" rule while lowly commoners are powerless. When Empress Savina vows to bring equality and prosperity to her land, the evil mage Profion plots to depose her.","Justin Whalin, Ridley Freeborn, Jeremy Irons, Profion, Thora Birch, Empress Savina, Bruce Payne, Damodar, Zoe McLellan, Marina Pretensa, Marlon Wayans, Snails, Robert Miano, Azmath, Tomas Havrlik, Mage, Lee Arenberg, Elwood Gutworthy","Dungeons & Dragons"," Released"," English",35000000,15185241,AU,2001-01-18
"Wire Room","09/02/2022 ",66,"Action, Crime, Thriller","New recruit Justin Rosa must monitor arms-smuggling cartel member Eddie Flynn - and keep him alive at all costs. When a SWAT team descends on Flynn's home, Rosa breaks protocol and contacts the gangster directly to save his life. As gunmen break into the Wire Room and chaos erupts, Mueller and Rosa make a final, desperate stand against the corrupt agents and officials who seek to destroy evidence and kill them both.","Kevin Dillon, Justin Rosa, Bruce Willis, Shane Mueller, Oliver Trevena, Eddie Flynn, Texas Battle, Sheriff Roberts, Cameron Douglas, , Shelby Cobb, Nour Holborow, MWW Michael Wilkerson, Special Operations, Adam Huel Potter, Billy, Amber Townsend, Cindy","Wire Room"," Released"," English",101000000,321357348.6,US,2022-09-02
"Killing Jesus","03/29/2015 ",65,"Drama, History, TV Movie","Jesus of Nazareth's life and ministry were subject to seismic social and political events that led to his execution and changed the world forever.","Haaz Sleiman, Jesus, Eoin Macken, Herod Antipas, Emmanuelle Chriqui, Herodias, Rufus Sewell, Caiaphas, John Rhys-Davies, Annas, Stephen Moyer, Pontius Pilate, Kelsey Grammer, King Herod, July Namir, Young Mary, Dan Mor, Sillaeus","Killing Jesus"," Released"," English",35580000,258973331.6,US,2015-03-29
"Inside Out","06/09/2015 ",79,"Animation, Family, Adventure, Drama, Comedy","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions- Joy, Fear, Anger, Disgust and Sadness-live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.","Amy Poehler, Joy (voice), Phyllis Smith, Sadness (voice), Bill Hader, Fear (voice), Kaitlyn Dias, Riley (voice), Richard Kind, Bing Bong (voice), Lewis Black, Anger (voice), Mindy Kaling, Disgust (voice), Diane Lane, Mom (voice), Kyle MacLachlan, Dad (voice)","Inside Out"," Released"," English",175000000,850566343,AU,2015-06-09
"The Miracle of Marcelino","02/24/1955 ",71,"Drama, Comedy","Left on the doorstep of a monastery as an infant, Marcelino was raised by the monks. He was well-cared for but lonely and missed having a mother. One day he found a special friend in the forbidden attic, hanging on a cross. A friend that would repay Marcelino's kindness by granting him one heart-felt wish.","Pablito Calvo, Marcelino, Rafael Rivelles, Padre Superior, Antonio Vico, Fray Puerta, Juan Calvo, Fray Papilla, Fernando Rey, Monje narrador, José Nieto, Civil Guard Commander, José Marco Davó, Pascual, Juanjo Menéndez, Fray Giles, Matilde F. Vilariño, Marcelino (voice) (uncredited)"," Marcelino pan y vino"," Released"," Spanish, Castilian",110000000,759213943.8,ES,1955-02-24
Fury,"10/23/2014 ",75,"War, Drama, Action","In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.","Brad Pitt, Don 'Wardaddy' Collier, Logan Lerman, Norman Ellison, Michael Peña, Trini 'Gordo' Garcia, Shia LaBeouf, Boyd 'Bible' Swan, Jon Bernthal, Grady 'Coon-Ass' Travis, Jim Parrack, Sergeant Binkowski, Brad William Henke, Sergeant Davis, Anamaria Marinca, Irma, Alicia von Rittberg, Emma",Fury," Released"," English",80000000,210315681,AU,2014-10-23
"Welcome to the Club","09/08/2022 ",66,"Animation, Comedy","Heart set on becoming a princess, Lisa Simpson is surprised to learn being bad might be more fun.","Yeardley Smith, Lisa Simpson (voice), Tress MacNeille, Cruella de Vil (voice), Nancy Cartwright, Bart Simpson/Mickey Mouse (voice), Tom Hiddleston, Loki (voice), Dawnn Lewis, Ursula (voice), Kevin Michael Richardson, Captain Hook (voice), Chris Edgerly, Additional Voices (voice)","Welcome to the Club"," Released"," English",124000000,690278154.2,US,2022-09-08
Emancipation,"12/02/2022 ",80,Drama,"Inspired by the gripping true story of a man who would do anything for his family-and for freedom. When Peter, an enslaved man, risks his life to escape and return to his family, he embarks on a perilous journey of love and endurance.","Will Smith, Peter, Ben Foster, Jim Fassel, Charmaine Bingwa, Dodienne, Steven Ogg, Confederate Sergeant Howard, Gilbert Owuor, Gordon, Mustafa Shakir, Lt. Andrew Cailloux, Grant Harvey, Leeds, Ronnie Gene Blevins, Harrington, Jayson Warner Smith, Capt. John Lyons",Emancipation," Released"," English",120000000,0,US,2022-12-02
"Undisputed III: Redemption","06/17/2010 ",76,"Action, Thriller","Russian inmate Boyka, now severely hobbled by the knee injury suffered at the end of Undisputed 2. No longer the feared prison fighter he was, he has declined so far that he is now good only for cleaning toilets. But when a new prison fight tournament begins - an international affair, matching the best fighters from prisons around the globe, enticing them with the promise of freedom for the winner - Boyka must reclaim his dignity and fight for his position in the tournament.","Scott Adkins, Yuri Boyka, Mykel Shannon Jenkins, Turbo, Mark Ivanir, Gaga, Hristo Shopov, Warden Kuss, Marko Zaror, Raul 'Dolor' Quinones, Michael Baral, Casino Manager, Ilram Choi, The Asian Fighter, Robert Costanzo, Farnatti, Lateef Crowder, Santiago Silva","Undisputed III: Redemption"," Released"," English",3000000,78701381.8,AU,2010-06-17
"The Last Warrior: Root of Evil","01/01/2021 ",69,"Fantasy, Adventure, Comedy","Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.","Viktor Horinyak, Ivan, Mila Syvatska, Vasilisa, Ekaterina Vilkova, Varvara, Elena Yakovleva, Baba Yaga, Konstantin Lavronenko, Kashchey, Evgeniy Dyatlov, Nikitich, Timofey Tribuntsev, old man, Pavel Davydov, drummer, Aleksandr Semchev, miracle yudo"," Последний богатырь: Корень зла"," Released"," Russian",8400000,27658331,RU,2021-01-01
"After We Fell","10/22/2021 ",71,"Romance, Drama","Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.","Josephine Langford, Tessa Young, Hero Fiennes Tiffin, Hardin Scott, Louise Lombard, Trish Daniels, Chance Perdomo, Landon Gibson, Rob Estes, Ken Scott, Arielle Kebbel, Kimberly "Kim" Vance, Stephen Moyer, Christian Vance, Mira Sorvino, Carol Young, Frances Turner, Karen Scott","After We Fell"," Released"," English",14000000,21500000,AU,2021-10-22
"Seoul Vibe","08/26/2022 ",67,"Action, Crime, Comedy, Adventure","Chasing speed, dreams and money, a team of drivers get involved in the slush fund investigation of a powerful figure during the 1988 Seoul Olympics.","Yoo Ah-in, Dong-wook, Go Kyung-pyo, Woo-sam, Lee Kyoo-hyung, Bok-nam, Park Ju-hyun, Yoon-hee, Ong Seong-wu, Joon-gi, Moon So-ri, President Kang, Kim Sung-kyun, Director Lee, Oh Jung-se, Prosecutor Ahn, Jung Woong-in, Chief Prosecutor Woong-in"," 서울대작전"," Released"," Korean",160200000,348577844,KR,2022-08-26
"One Week Friends","06/18/2022 ",52,Drama,"A new transfer student, Lin Xiangzhi (Zhao Jinmai), who is quiet and intelligent but always alone, does not make friends with the other students. However, she attracts the attention of Xu Youshu (Lin Yi), a scum of the class. In the process of trying to befriend Lin Xiangzhi, he, the eccentric Song Xiaonan (Shen Yue) and the cool-headed Jiang Wu (Wang Jiahui) discover Lin Xiangzhi's secret, that she suffers from a special disease and her memory of her friends is only seven days.","Zhao Jinmai, Lin Xiangzhi, Lin Yi, Xu Youshu, Shen Yue, Song Xiaonan, Fan Shiran, Xu Jie"," 一周的朋友"," Released"," Chinese",111940000,638332462.6,CN,2022-06-18
"Space Jam: A New Legacy","07/08/2021 ",69,"Family, Animation, Comedy, Science Fiction","When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.","LeBron James, LeBron James, Don Cheadle, Al G. Rhythm, Cedric Joe, Dominic 'Dom' James, Jeff Bergman, Bugs Bunny / Sylvester / Yosemite Sam / Fred Flintstone (voice), Gabriel Iglesias, Speedy Gonzales (voice), Zendaya, Lola Bunny (voice), Eric Bauza, Daffy Duck / Porky Pig / Foghorn Leghorn / Elmer Fudd (voice), Candi Milo, Granny (voice), Bob Bergen, Tweety Bird (voice)","Space Jam: A New Legacy"," Released"," English",150000000,143987946,AU,2021-07-08
Nobody,"04/01/2021 ",81,"Action, Crime, Thriller","Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor - a "nobody." When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.","Bob Odenkirk, Hutch Mansell, Connie Nielsen, Becca Mansell, Christopher Lloyd, David Mansell, Aleksey Serebryakov, Yulian Kuznetsov, RZA, Harry Mansell, Michael Ironside, Eddie Williams, Colin Salmon, The Barber, Billy MacLellan, Charlie Williams, Araya Mengesha, Pavel",Nobody," Released"," English",16000000,57512470,AU,2021-04-01
"The Tiger's Nest","10/13/2022 ",70,"Family, Adventure","In the valleys of the Himalayas, an orphan boy saves a Bengal tiger cub from the ruthless poachers who killed the tiger's mother. Together they set out in the Himalayan mountains to the Taktsang monastery in Bhutan known as "The Tiger's Nest" where Buddhist monks took refuge after the 1950 Chinese invasion of Tibet and protect the big cats. A new great film for the whole family that talks about the importance of defending animals through the story of the friendship between two orphans, a tiger cub and a child, in a tale of brotherhood and the discovery of life.","Sunny Pawar, Balmani, Claudia Gerini, Miss Hannah, Amandeep Singh, Jenan, Yoon C. Joyce, Samchai, Shi Yang, Head Lama, Samir Gurung, Madhav's Father, Legyaan Thapa, Madhav","The Tiger's Nest"," Released"," English",120000000,305330864.2,IT,2022-10-13
"Naruto Shippuden the Movie","08/04/2007 ",72,"Animation, Action, Fantasy","Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this "prediction of death."","Junko Takeuchi, Naruto Uzumaki (voice), Chie Nakamura, Sakura Haruno (voice), Yōichi Masukawa, Rock Lee (voice), Koichi Tochika, Neji Hyûga (voice), Ayumi Fujimura, Shion (voice), Yoshinori Fujita, Taruho (voice), Daisuke Kishio, Susuki (voice), Fumiko Orikasa, Miroku (voice), Miyuki Sawashiro, Shizuku (voice)"," 劇場版 NARUTO -ナルト- 疾風伝"," Released"," Japanese",33111535.2,10000000,JP,2007-08-04
Terrifier,"03/15/2016 ",66,"Horror, Thriller","On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.","David Howard Thornton, Art the Clown, Jenna Kanell, Tara, Samantha Scaffidi, Victoria, Catherine Corcoran, Dawn, Pooya Mohseni, Cat Lady, Matt McAllister, Mike the Exterminator, Katie Maguire, Monica Brown, Gino Cafarelli, Steven, Cory DuVal, Coroner",Terrifier," Released"," English",35000,0,US,2016-03-15
"In the Forest","01/28/2022 ",60,"Horror, Thriller","Helen and her daughter Emily reluctantly accompany Helen's father Stan on a family camping trip, driving deep into the forest for a real outdoors experience, only to have angry landowner Howard arrive and force them to leave. When their RV gets stuck, Helen decides to seek help but discovers a disturbing secret on the man's property. She must then fight to protect her family and make it out of the forest alive before being hunted down.","Debbon Ayer, Helen, Cristina Spruell, Emily, Lyman Ward, Stan, Don Baldaramos, Howard, Kaitlyn Dias, Natalie, Time Winters, Gary, Sharon Sharth, Pamela","In the Forest"," Released"," English",84600000,178745725.6,US,2022-01-28
"The Amazing Spider-Man","07/03/2012 ",67,"Action, Adventure, Fantasy","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance - leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","Andrew Garfield, Peter Parker / Spider-Man, Emma Stone, Gwen Stacy, Rhys Ifans, Dr. Curt Connors / The Lizard, Denis Leary, Captain Stacy, Martin Sheen, Uncle Ben, Sally Field, Aunt May, Max Charles, Peter Parker (Age 4), Campbell Scott, Richard Parker, Embeth Davidtz, Mary Parker","The Amazing Spider-Man"," Released"," English",220000000,757890267,AU,2012-07-03
"Evil Dead","05/01/2013 ",65,Horror,"Five young friends find the mysterious and fiercely powerful Book of the Dead, and unable to resist its temptation, release a violent demon on a bloodthirsty quest to possess them all.","Jane Levy, Mia Allen, Shiloh Fernandez, David Allen, Lou Taylor Pucci, Eric, Jessica Lucas, Olivia, Elizabeth Blackmore, Natalie, Phoenix Connolly, Teenager, Jim McLarty, Harold, Sian Davis, Old Woman, Stephen Butterworth, Toothless Redneck","Evil Dead"," Released"," English",17000000,99010045,AU,2013-05-01
"El asistente","03/01/2023 ",100,Comedy,"We don't have an overview translated in English. Help us expand our database by adding one.","Rodrigo Noya, Miguel, Luis Cao, Jimmy, Florencia Raggi, Pato, Barbie Pucheta, Mónica, Luis Rubio, Luis, Federico Morosini, Lemmy, Fabio Alberti, Comisario","El asistente"," Released"," Spanish, Castilian",201000000,1569323843.8,AR,2023-03-01
Virus:32,"04/21/2022 ",69,Horror,"A virus is unleashed and a chilling massacre runs through the streets of Montevideo.","Daniel Hendler, Luis, Paula Silva, Iris, Franco Rilla, Javier, Sofía González, Miriam"," Virus: 32"," Released"," Spanish, Castilian",101400000,531683245.8,AR,2022-04-21
Linoleum,"03/30/2023 ",68,"Science Fiction, Comedy, Drama","When the host of a failing children's science show tries to fulfill his childhood dream of becoming an astronaut by building a rocket ship in his garage, a series of bizarre events occur that cause him to question his own reality.","Jim Gaffigan, Cameron Edwin / Kent Armstrong, Rhea Seehorn, Erin Edwin, Katelyn Nacon, Nora Edwin, Gabriel Rush, Marc, Amy Hargreaves, Linda, West Duchovny, Darcy, Michael Ian Black, Tony, Tony Shalhoub, Dr. Alvin, Elisabeth Henry-Macari, Mysterious Woman",Linoleum," Released"," English",109000000,673135995.2,AU,2023-03-30
"After We Collided","01/01/2021 ",72,"Romance, Drama","Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.","Josephine Langford, Tessa Young, Hero Fiennes Tiffin, Hardin Scott, Dylan Sprouse, Trevor Matthews, Louise Lombard, Trish Daniels, Charlie Weber, Christian Vance, Candice King, Kimberly Vance, Shane Paul McGhie, Landon Gibson, Rob Estes, Ken Scott, Inanna Sarkis, Molly Samuels","After We Collided"," Released"," English",24685792,42000000,AU,2021-01-01
"Sinner: The Secret Diary of a Nymphomaniac","06/21/1973 ",49,Drama,"Linda comes to the big city in search of fun and excitement.  What she finds is exploitation and abuse at the hands of a succession of sleazy guys.  Searching for love, she enters into a lesbian relationship with a beautiful countess, discovers drugs and swingers' parties and starts acting in porno movies.  She also begins to write a secret diary... With a cast of some of the most stunning Euro actresses of the period, wall-to-wall sex and nudity, pot parties, porno shoots and a psychedelic soundtrack, this is a gem of 1970s exploitation cinema from Jess Franco.  Street scenes shot in Benidorm (Alicante, Spain) and Las Palmas (Gran Canaria, Spain).","Montserrat Prous, Linda Vargas, Anne Libert, Comtesse Anna de Monterey, Howard Vernon, Le docteur, Manuel Pereiro, M. Ortiz, Jacqueline Laurent, Rosa Ortiz, Francisco Acosta, Alberto, Jesús Franco, Inspecteur Hernandez, Kali Hansa, Maria Toledano, Doris Thomas, Mrs. Schwartz / the photographer"," Le journal intime d'une nymphomane"," Released"," French",167400000,997517367.8,FR,1973-06-21
"A Quiet Place Part II","05/21/2021 ",75,"Science Fiction, Thriller, Horror","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.","Cillian Murphy, Emmett, Emily Blunt, Evelyn Abbott, Millicent Simmonds, Regan Abbott, Noah Jupe, Marcus Abbott, Djimon Hounsou, Man on Island, John Krasinski, Lee Abbott, Wayne Duvall, Roger, Scoot McNairy, Marina Man, Okieriete Onaodowan, Ronnie","A Quiet Place Part II"," Released"," English",61000000,297400000,AU,2021-05-21
Twilight,"12/11/2008 ",63,"Fantasy, Drama, Romance","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.","Kristen Stewart, Bella Swan, Robert Pattinson, Edward Cullen, Billy Burke, Charlie Swan, Peter Facinelli, Dr. Carlisle Cullen, Elizabeth Reaser, Esme Cullen, Cam Gigandet, James, Ashley Greene, Alice Cullen, Anna Kendrick, Jessica, Nikki Reed, Rosalie",Twilight," Released"," English",37000000,402278564,AU,2008-12-11
Twilight,"12/11/2008 ",63,"Fantasy, Drama, Romance","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.","Kristen Stewart, Bella Swan, Robert Pattinson, Edward Cullen, Billy Burke, Charlie Swan, Peter Facinelli, Dr. Carlisle Cullen, Elizabeth Reaser, Esme Cullen, Cam Gigandet, James, Ashley Greene, Alice Cullen, Anna Kendrick, Jessica, Nikki Reed, Rosalie",Twilight," Released"," English",20000000,15055091,AU,2008-12-11
"Warriors of Future","08/05/2022 ",73,"Drama, Action, Science Fiction","When a meteor carrying a destructive plant strikes the world, a suicide squad is given hours to save their post-apocalyptic city from total collapse.","Louis Koo, Tyler, Lau Ching-wan, Johnson Cheng, Carina Lau, Colonel Tam Bing, Philip Keung, Lieutenant Taron Yau Tai-long / Skunk, Tse Kwan-Ho, Dr. Chan Chong-Chung, Janice Wu, Lucy, Wan Guopeng, Connor Kwong, Nick Cheung, Commander-in-Chief Sean Lee, Ng Siu-Hin, Citizen"," 明日戰記"," Released"," Chinese",71460000,300356421.2,CN,2022-08-05
"Spider-Man: Homecoming","07/06/2017 ",74,"Action, Adventure, Science Fiction, Drama","Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.","Tom Holland, Peter Parker / Spider-Man, Michael Keaton, Adrian Toomes / Vulture, Robert Downey Jr., Tony Stark / Iron Man, Marisa Tomei, May Parker, Jon Favreau, Harold 'Happy' Hogan, Gwyneth Paltrow, Virginia 'Pepper' Potts, Zendaya, Michelle 'MJ' Jones, Donald Glover, Aaron Davis, Jacob Batalon, Ned","Spider-Man: Homecoming"," Released"," English",175000000,878271291,AU,2017-07-06
"Howl's Moving Castle","06/09/2005 ",84,"Fantasy, Animation, Adventure","When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Chieko Baisho, Sophie (voice), Takuya Kimura, Howl (voice), Akihiro Miwa, Witch of the Waste (voice), Tatsuya Gashûin, Calcifer (voice), Ryunosuke Kamiki, Markl (voice), Mitsunori Isaki, Kosho (voice), Yo Oizumi, Prince Justin / Turnip Head (voice), Akio Otsuka, King of Ingary (voice), Daijirô Harada, Heen (voice)"," ハウルの動く城"," Released"," Japanese",24000000,236049757,AU,2005-06-09
